symbol,log2FC,p,padj
SAMD4A,0.19993951941270005,0.03977025186884924,0.4698634416163542
SAMD4B,-0.033879482952382745,0.6547543460450092,0.9273714541336672
SAMD5,-0.11999017569841453,0.461128906223749,0.868405845342242
SAMD7,-0.010200665611111326,0.8926554979647174,0.9789461203339753
SAMD8,-0.0602695603412684,0.38117812393587125,0.8300652427502825
SAMD9,0.14663264394444475,0.4277071360780832,0.8531599050078531
SAMD9L,0.213870830555555,0.3406501843716153,0.8070597984200515
SAMM50,-0.04020720544444778,0.6408130018126614,0.9257508230180916
SAMSN1,0.13661564901587253,0.4956664530694146,0.8810091830370981
SAP130,-0.04968133232539795,0.556096743462526,0.9035847125623747
SAP18,-0.03772976327777666,0.5982001978075879,0.9202974400710938
SAP25///LRCH4,-0.0017469931904754432,0.9813048319701444,0.9952335676078357
SAP30,0.00629695157142951,0.9606634873583593,0.9911538888140048
SAP30BP,-0.09560287177777838,0.14513691101974746,0.6656071458367105
SAP30L,-0.04963104263492113,0.45332399883090935,0.8642151231525345
SAPCD2,0.0673587743174604,0.458874165539637,0.8674666183348709
SAR1A,-0.03818391026190504,0.5333736690481616,0.8943981378156536
SAR1B,-0.008766687380953542,0.9203078110718376,0.9837235008168961
SARAF,-0.08797914531745832,0.2755132444429022,0.7691115151658825
SARDH,-0.12527090949206254,0.40672376741367766,0.8423091191407595
SARM1///TMEM199,0.015312747460318299,0.8709725781935771,0.9760251520821462
SARNP,-0.020944982214286867,0.7884424015610263,0.960461352008605
SARS,-0.1258117129206333,0.10416562644344911,0.6159216522103148
SARS2///MRPS12,-0.2038678608333342,0.04623899089052398,0.4931672045796065
SART1,-0.03859156888095239,0.6824933105280454,0.9341275517931498
SART3,0.0188917738412675,0.8430583761814807,0.9697324586084219
SASH1,0.046543470626983385,0.6926731180547805,0.936122991815226
SASH3,0.16396210446031745,0.11959020567482162,0.6337517976762311
SASS6,0.001063107833333632,0.9934865480215365,0.9983479491492245
SAT1,-0.10629609896825443,0.2956869937886197,0.7812215460728806
SAT2,-0.15371046713491765,0.21451990661862852,0.7270369238801292
SATB1,-0.07072705692063597,0.5864803899047779,0.9160311556340669
SATB2,0.5026211371507943,8.267400041221291e-05,0.04651331123191556
SATB2-AS1///SATB2,0.007283035706349583,0.9409601385461521,0.9871209328770267
SATL1,0.0014043337936513467,0.9841826376025002,0.9959981045005623
SAV1,-0.08545540015079389,0.3732404062786904,0.8258228362311012
SAXO1,0.004664500642857394,0.9533582105341094,0.9898042305449068
SAXO2,0.2165512749523817,0.2608212062157373,0.7596088338421254
SAYSD1,0.0761195734365101,0.46836918690040596,0.871292559848561
SBDS,-0.14187515288095298,0.11893439503624956,0.6336727010965485
SBF1,0.1553967830238081,0.19861459842504342,0.7166778248376667
SBF2,-0.0171543307142894,0.7955620651063864,0.961902129959875
SBK1,-0.024579135492062143,0.7960759543323017,0.961902129959875
SBK2,0.042022320634921506,0.7448031897978418,0.9495503320865284
SBNO1,0.01391626569047677,0.8793339085032277,0.9766542802393245
SBNO2,-0.06881298022222282,0.520381447264577,0.8899410497721228
SBSN,-0.1042189658412691,0.2551535505309607,0.7554777207086952
SBSPON,-0.0841136856746032,0.4155380549172767,0.8473077382759008
SC5D,-0.014853978134921064,0.9241924243680804,0.984154270226513
SCAF1,-0.06256071863492263,0.48556882917932775,0.8784301808057153
SCAF11,-0.13193913599206386,0.18912194216571077,0.709502776377244
SCAF4,0.014317871682537842,0.83266254798129,0.9685513764729564
SCAF8,0.037145878301585,0.5429579469799406,0.8986644822205782
SCAI,0.03107581994444608,0.7716116135475893,0.9554502114148368
SCAMP1,-0.08665279492063327,0.5455021172235994,0.898936480943976
SCAMP2,-0.008076108079364985,0.9229292819630268,0.984154270226513
SCAMP3,-0.010824851698409965,0.87275015837623,0.976396470821485
SCAMP5,0.14196556517460301,0.4042733550476637,0.8413638032403803
SCAND1,-0.22240797535714218,0.024103017137873276,0.4084376121504662
SCAND2P,0.22657300411904746,0.04782753514072416,0.49822178071667633
SCAP,0.041561709984128115,0.7246596045105949,0.944306737305362
SCAPER,-0.004192719182539939,0.9749397507056761,0.9935747798781189
SCARA3,0.057476511611111114,0.5749680878421107,0.9107405672204184
SCARA5,0.3325274628571431,0.07097516538390013,0.5572006218260401
SCARB1,-0.0035030364761912125,0.973888444256604,0.993363999696166
SCARB2,-0.0427288885476198,0.6513249463524222,0.9267249637234577
SCARF1,-0.023914722444442482,0.739782946504487,0.9485069189404242
SCARF2,-0.012734757277778286,0.8968949661267287,0.9798745913103692
