symbol,z_GSE48452,z_GSE63067,z_meta,p_meta,padj_meta,log2FC_meta,log2FC_1,log2FC_2
ABCB6,-1.0014441558838192,-2.764682944894947,-2.663054011771098,0.007743498379960044,0.2822585546920411,-0.31559088753968245,-0.1048519338095248,-0.5263298412698401
ABCB7,-1.7768923054930532,1.383059200890628,-0.27848205892012584,0.7806423354624961,0.9599672041532124,0.01513952457936485,-0.1417645338095239,0.1720435829682536
ABCB8,-0.12409734504070202,0.43868302509840906,0.22244566763298632,0.8239669645815066,0.9703298127759716,0.0239219055714286,-0.0121767050952383,0.0600205162380955
ABCB9,0.20359663986332674,-2.368463360120592,-1.530791938258993,0.12582082268270806,0.6477600320662595,-0.1232435434246033,0.0178333896904763,-0.2643204765396829
ABCC1,1.8532864457684393,2.6205117057856713,3.163453010623753,0.0015590951815927423,0.12757465790250178,0.32708390969841217,0.2840559952063479,0.3701118241904764
ABCC10,1.614173214983595,-1.389466088922016,0.15889193261908297,0.8737540167862142,0.9772381623677933,-0.07178880298809487,0.1487940133095247,-0.2923716192857144
ABCC12,-0.20483325390936077,0.8003583422452409,0.4210998283290186,0.6736821869286416,0.9354995607952198,0.0330254100912697,-0.0150517973571426,0.081102617539682
ABCC13,0.6326922418708951,0.424912712482884,0.7478396350400464,0.45455689191927595,0.8758923113201159,0.0388446310476189,0.0440468869841264,0.0336423751111114
ABCC2,0.3300271590006035,-0.09580911830123451,0.16561716485475061,0.8684582382466007,0.9762680575859333,0.007930789400793599,0.0356201677857139,-0.0197585889841267
ABCC3,1.841606792452795,-0.9214544449461507,0.6506459646466688,0.5152750517744942,0.8936271778236665,0.03629336759523795,0.2289583132698425,-0.1563715780793666
ABCC4,1.7548651702640585,-0.24000798336486176,1.0711657893855993,0.2840948910092589,0.7901476623833871,0.1738263325079372,0.3793590168730176,-0.0317063518571432
ABCC5,2.1653997146944404,-0.6768024136041313,1.0525972460569506,0.2925256198941718,0.7937867111974815,0.08261184948412749,0.296841279714287,-0.131617580746032
ABCC8,-0.2595695148484941,-1.4165953130915647,-1.1852275162227985,0.23592750330068857,0.7624667055330013,-0.11354037720634964,-0.0234500269365085,-0.2036307274761908
ABCC9,-0.03545217651359682,2.6459302460888052,1.845886745135398,0.0649086516555809,0.5489581896376448,0.37240145897619126,-0.0043863749206334,0.7491892928730159
ABCD1,1.6050665392614454,0.021920042681560233,1.150453244991422,0.24995724075909198,0.7695306133195817,0.09002893885317405,0.1774478368968237,0.0026100408095244
ABCD2,-0.24900181390707493,-0.7827974455813164,-0.7295922532074999,0.46563945888421554,0.8802456645737547,-0.044071211753968054,-0.0312843887460312,-0.0568580347619049
ABCD3,-0.3765132114209728,2.1686088171654094,1.2672029553565045,0.20508272932520255,0.7372151714370216,0.5634239351785699,-0.0417827908174626,1.1686306611746025
ABCD4,0.6255390046925128,1.1711149547380928,1.2704261981590415,0.2039328561767526,0.7363493323218578,0.0854791831587302,0.0628381227301577,0.1081202435873027
ABCE1,-2.03364330607498,1.0746344811711361,-0.6781216433072506,0.49769456891198216,0.8884200338975817,-0.02042470594841375,-0.3192664525634923,0.2784170406666648
ABCF1,-0.15532279579736843,0.9436136967419947,0.5574058416055983,0.5772501751927741,0.9130136770394256,0.056685411166666345,-0.0109443723174607,0.1243151946507934
ABCF2,0.20762447579994817,0.8149363588714215,0.7230597003719017,0.46964320680052696,0.881224840676562,0.0805912501587302,0.0274065105714287,0.1337759897460317
ABCF3,0.7615091377540666,-0.1447504747368232,0.43611423297504154,0.6627538510651609,0.9325716465553475,0.0206912842698399,0.0675792819841252,-0.0261967134444454
ABCG1,0.08759770028881265,1.6681687171259194,1.2415143399335675,0.21441580410196903,0.7459140844590204,0.26398747699999875,0.00936714711111,0.5186078068888875
ABCG2,-1.6006459454788866,-0.32545686056018497,-1.3619603554126651,0.17321039686511852,0.7120965296362567,-0.17815608023015936,-0.2741728633492073,-0.0821392971111114
ABCG4,0.5245536111313759,0.1168451974119232,0.45353744696593895,0.6501617849527663,0.9291240178596809,0.02759739015873115,0.044743134492065,0.0104516458253973
ABCG5,0.4762480488145671,-1.347800466060022,-0.6162806243937884,0.5377093244283219,0.8995449208511117,-0.1725448305912689,0.0898121478650804,-0.4349018090476182
ABCG8,1.2007478486968441,-1.4336441663183659,-0.16468256550355395,0.8691938403182742,0.9762680575859333,-0.011259624805555646,0.2802517972777778,-0.3027710468888891
ABHD10,-0.3452136239786424,0.9350912427525501,0.41710646430520326,0.676600536862471,0.9360663149045605,0.10378008540872939,-0.0379162543253981,0.2454764251428569
ABHD11,-0.633779771232179,-1.0089334642535615,-1.1615736683568612,0.2454086830984994,0.7676329223125361,-0.0799555721269844,-0.0428658239999997,-0.1170453202539691
ABHD12,0.5071090256267294,0.1645832566265054,0.47495816765193094,0.6348167902019854,0.9249506643494544,0.04412629823015865,0.0486013554126989,0.0396512410476184
ABHD13,-1.704817853555299,2.6805360407274006,0.6899369466764382,0.4902338401331864,0.8856208174249052,0.16398156540872885,-0.1648537520555582,0.4928168828730159
ABHD14B,-0.21746389252094525,-1.5349194605508278,-1.2391221521954707,0.21530026446326944,0.7466841672420413,-0.18436498711111146,-0.0288228273174606,-0.3399071469047623
ABHD15,0.030231119692355937,-0.4357749106147127,-0.28676276462929795,0.7742939755375731,0.9584179594895801,-0.0494211080515865,0.0064547571190489,-0.1052969732222219
ABHD16A,0.26490295619583026,-0.6736741010634878,-0.2890448484893092,0.7725470574428501,0.9582163194908462,-0.03312766846031725,0.0205548329523814,-0.0868101698730159
