symbol,log2FC,p,padj
DPP3,-0.17935135458730134,0.3337991030546177,0.805715119581003
DPP4,0.9255255495714287,0.002406047066179674,0.42800052094258606
DPP6,-0.10082202652380934,0.4643774367289124,0.8618326316140714
DPP7,-0.12720719706349204,0.6170646368063692,0.9151083160746957
DPP8,0.21436679890476196,0.12675134618037628,0.6940274277427063
DPP9,-0.1699168115396823,0.20777004455716233,0.744958774920647
DPPA2,-0.02107366633333374,0.822033435883084,0.9676750228370333
DPPA4,-0.1937889281904761,0.055168923236743966,0.6155214996925307
DPPA5,-0.040878829238095715,0.6589081539593846,0.9282276063871998
DPT,0.19904489985714502,0.5075557516258316,0.8781407074327935
DPY19L1,0.040840164571428694,0.825130408000658,0.9677277680936163
DPY19L1P1,-0.024205116238095403,0.7840338221081739,0.9589393224862518
DPY19L2,0.05579233471428635,0.45110111327489677,0.8589209570983538
DPY19L2P2,-0.01850594333333344,0.7507453164002141,0.9515715314623256
DPY19L2P3,0.06958074503174627,0.31812931592344157,0.7971679751333792
DPY19L2P4,-0.05743251777777747,0.41040894970901076,0.8416801531981069
DPY19L3,-0.23086599368253946,0.21706062586639283,0.7505271094549087
DPY19L4,-0.03535906941269751,0.8034009731137117,0.9640604285327368
DPY30,-0.01837327071428696,0.8232792851284687,0.9677277680936163
DPY30///MEMO1,0.02637311295237854,0.8355851848759437,0.9687296902564133
DPYD,0.5470835215079353,0.021207395716202313,0.5546737279361317
DPYS,0.42124713222222,0.004248080921469356,0.47550690871575757
DPYSL2,0.2333733517460317,0.15556597642078757,0.7136141186943954
DPYSL3,0.17065749709523992,0.26780771352189015,0.7714140651308969
DPYSL4,0.0479604930476194,0.6398164707762461,0.921558507391415
DPYSL5,-0.09427474688888804,0.3676204664124879,0.821091861190856
DQX1,-0.005250998952379682,0.9566918583634684,0.9897085721111962
DR1,0.17621972225396831,0.4262216370558928,0.8481337843238729
DRAIC,-0.22233578415872923,0.3076220420457402,0.7925946924004794
DRAM1,0.17186441123809448,0.36935188406447594,0.8217736844988124
DRAM2,0.18260646547619253,0.3956191472495718,0.8357907562045307
DRAP1,0.01086086023809596,0.9354349146790933,0.9891071703544562
DRAXIN,-0.11201969958730196,0.22184151823386672,0.7510155803527048
DRC1,-0.12235165490476163,0.12623350154494933,0.6940274277427063
DRC3,-0.04556555695238096,0.6424274268393884,0.9229967679465911
DRC7,-0.16453164012698274,0.16286618474310885,0.7173159534070747
DRD1,-0.12022152066666703,0.1732530335031308,0.7279514410908859
DRD2,-0.0164654955555541,0.8744199030957296,0.9758337891561205
DRD3,-0.09068291112698379,0.27464991342009065,0.7764901184705424
DRD4,-0.024351037460317748,0.8203044549901473,0.9674059860259562
DRD5,-0.12059887552380921,0.20051628315109798,0.7422269241279696
DRG1,0.051010972079364336,0.5827985545866738,0.9056626352913097
DRG2,-0.24565325661904858,0.09583731992007435,0.6647651074597798
DRICH1,-0.004500562920635609,0.9566093317628596,0.9897085721111962
DROSHA,-0.13374225150793695,0.2877552493622663,0.7840276688002373
DRP2,0.019824385857142524,0.8253347838303349,0.9677277680936163
DSC1,-0.0018751170634923042,0.9786506578695966,0.9943804124676471
DSC2,-0.030485461507936407,0.7801329775343617,0.9580137337356881
DSC3,0.022520641650793927,0.755101704190156,0.9531182926141853
DSCAM,-0.020408882190476874,0.8572581321429322,0.9722135208888306
DSCAM-AS1,0.004238502015872392,0.9528252295653925,0.9896851422292652
DSCAML1,0.017094291031746423,0.8883458717991006,0.9798432444872617
DSCC1,0.07185512769841118,0.4065501714924947,0.8392577708184215
DSCR10,-0.14075258933333323,0.15823101653870897,0.7148623504650033
DSCR3,0.07046457596825384,0.6694610770568962,0.9310938848448959
DSCR4,-0.03285207663491985,0.6995397864069564,0.9388117024336342
DSCR8,-0.08032751014285822,0.45136810311529707,0.8590883776657162
DSCR9,-0.05809438049206239,0.5381461276470252,0.8914719970049526
DSE,0.384698169619047,0.08475602863345434,0.6486670188773298
DSEL,-0.3073278348888895,0.23324822982678314,0.7522943033697828
DSERG1,-0.2870033401746035,0.09401147257960282,0.662741695995859
DSG1,-0.006519294666665232,0.9602939103111383,0.9900967837948655
DSG2,0.28515254061904827,0.21414109892068972,0.7486335030646264
DSG2-AS1,-0.24950444522222082,0.01949720963176243,0.5483188650433163
DSG3,-0.07356134109523804,0.46633952407428647,0.8619391373319337
DSG4,-0.026647482269841483,0.718788255517582,0.9427167297753383
DSN1,-0.06588781247619035,0.5660502813831709,0.9012046849114715
DSP,-0.13247227968253839,0.4203409746039982,0.846486933004374
DSPP,-0.006547207476190309,0.9608578164862378,0.9903008291782721
DST,0.038227401460317445,0.8983710056717723,0.982995216233342
DSTN,0.09997088226984019,0.6789156378067853,0.934946504962863
DSTNP2,0.11680259690476191,0.3936637537191021,0.8346875328497999
DSTYK,0.23130256593650778,0.18855802969852486,0.7357802378355407
DTD1,-0.18194892195238133,0.4558979725624437,0.8592519870689621
DTD2,0.05293028353968232,0.610961467583202,0.9133894557962267
DTHD1,-0.01814716401587413,0.8005172925785355,0.963920787558572
DTL,-0.3356748335396822,0.14176866721939674,0.7049988697739118
DTNA,0.04304446457142763,0.7332560559805834,0.9455562312861265
DTNB,-0.013196874380951407,0.878023683688754,0.9768115640708933
DTNBP1,0.10249810796825454,0.4598000950417328,0.8598585437756756
DTWD1,-0.10222740053968238,0.6741692830272314,0.9333713247077581
DTWD2,-0.041996973873014376,0.6445622276218851,0.9233773173672934
DTX1,0.44129183973015973,0.08221015374831321,0.6439650443478111
DTX2P1-UPK3BP1-PMS2P11,-0.21192034960317585,0.12957372974460038,0.6963038391696337
DTX3,-0.25738883066666673,0.11279049015749887,0.683953490002353
DTX3L,-0.13728942084127027,0.29883316525009995,0.7884612195482419
DTX4,0.7252712167619046,0.1123287115387057,0.683953490002353
DTYMK,-0.29268879538095316,0.09923691632241584,0.6707787136519849
DUBR,-0.01739041179365053,0.8304864794382832,0.9687121443862023
DUOX1,-0.12430849126984089,0.3003678755734634,0.7900480379576311
DUOX2,-0.17392101141269833,0.058345798936848756,0.6200747310051431
DUOXA1,0.0386830889206351,0.7176019490440899,0.9422017849525937
DUOXA2,-0.13717505342857095,0.2918867145551698,0.7864746126482619
DUS1L,-0.2617873180158732,0.057449717159356845,0.6185112926001791
DUS2,-0.15729541084126986,0.13621127007610784,0.7003583958413976
DUS3L,0.2266283957301587,0.1046401492186054,0.6765155717419769
DUS4L,-0.154448073206348,0.27425714881664826,0.7764247445208878
DUSP1,0.2512780499047622,0.5747266056821567,0.9040960436823908
DUSP10,-0.17508145126984154,0.4140275826742831,0.8424452614064925
DUSP11,0.19767142098412638,0.2588672459021406,0.7685807651511626
DUSP12,0.10541097290476298,0.36225316153560205,0.8188469456382799
DUSP13,-0.11585234236507969,0.25418250901469247,0.7678717728122321
DUSP14,0.5478019537777765,0.07889774344486891,0.6439650443478111
DUSP15,-0.17675817357142964,0.14635822138782906,0.7081996151870162
DUSP16,0.31699980599999833,0.2666865533963481,0.7712240456877096
DUSP18,-0.05847055885714347,0.4214080633665811,0.8471327190227875
DUSP19,-0.03974422541269895,0.6273968214141401,0.9180965718579676
DUSP2,-0.020220579984127518,0.8608384959199851,0.973126423345155
DUSP21,-0.13896552615873015,0.08455919249789957,0.6481072485097878
DUSP22,-0.06754652979365083,0.695630243256951,0.9376099763492896
DUSP23,-0.14320704993650768,0.40074534452875477,0.8378426488955207
DUSP26,-0.13993555160317506,0.10007211834089008,0.6711216563339736
DUSP27,-0.01477950739682532,0.849171898401309,0.9704509298324395
DUSP28,0.08745485242857143,0.49455988794603845,0.8732226747540899
DUSP3,0.24405927812698458,0.11624653170001226,0.6845526252366168
DUSP4,-0.043308901904763,0.7725414477314098,0.9577003529400724
DUSP5,0.15081529763492085,0.6255049052944199,0.9177362393838477
DUSP5P1,-0.0919431245238096,0.22632848474445644,0.7510155803527048
DUSP6,0.9865999034126993,0.0591680977354215,0.622668997384074
DUSP7,-0.06192742723809452,0.6530711321485061,0.9261731019469598
DUSP9,-0.06284151296825335,0.5831117667291292,0.9056626352913097
DUT,-0.045856653253968815,0.7766286245796394,0.9578995303389449
DUX1,-0.031127625174604212,0.8011686269589636,0.963920787558572
DUX1///DUX3///DUX5,0.009738828984127146,0.9290814080014743,0.9885096653901093
