target,herb,name,affinity,note
ACC2_5KKN,Glycyrrhiza uralensis(甘草),Formononetin,-8.911,
ACC2_5KKN,Glycyrrhiza uralensis(甘草),Licoisoflavone A,-8.937,
ACC2_5KKN,Glycyrrhiza uralensis(甘草),Licoisoflavone B,-8.904,
ACC2_5KKN,Glycyrrhiza uralensis(甘草),Isolicoflavonol,-10.38,
ACC2_5KKN,Glycyrrhiza uralensis(甘草),Semilicoisoflavone B,-9.53,
ACC2_5KKN,Glycyrrhiza uralensis(甘草),Glyasperin C,-8.718,
ACC2_5KKN,Glycyrrhiza uralensis(甘草),Licoflavanone,-10.3,
ACC2_5KKN,Bupleurum chinense(柴胡),Saikogenin A,-7.099,
ACC2_5KKN,Bupleurum chinense(柴胡),Saikogenin D,-7.51,
ACC2_5KKN,Bupleurum chinense(柴胡),Saikogenin F,-7.336,
ACC2_5KKN,Schisandra chinensis(五味子),Schisandrin A,-5.487,
ACC2_5KKN,Schisandra chinensis(五味子),Schisandrin B,-5.82,
ACC2_5KKN,Schisandra chinensis(五味子),Schisandrin C,-6.525,
ACC2_5KKN,Schisandra chinensis(五味子),Schisandrol A,-5.698,
ACC2_5KKN,Schisandra chinensis(五味子),Schisandrol B,-5.615,
ACC2_5KKN,Schisandra chinensis(五味子),Gomisin H,-5.511,
ACC2_5KKN,Schisandra chinensis(五味子),Gomisin J,-5.709,
ACC2_5KKN,Schisandra chinensis(五味子),Gomisin K1,-5.917,
ACC2_5KKN,Schisandra chinensis(五味子),Gomisin K3,-5.619,
ACC2_5KKN,Schisandra chinensis(五味子),Gomisin L1,-5.986,
ACC2_5KKN,Schisandra chinensis(五味子),Gomisin L2,-6.262,
ACC2_5KKN,Schisandra chinensis(五味子),Gomisin M1,-6.339,
ACC2_5KKN,Schisandra chinensis(五味子),Gomisin M2,-6.299,
ACC2_5KKN,Schisandra chinensis(五味子),Gomisin N,-5.673,
ACC2_5KKN,Schisandra chinensis(五味子),Gomisin O,-6.302,
ACC2_5KKN,Schisandra chinensis(五味子),Schisanhenol,-5.619,
ACC2_5KKN,Schisandra chinensis(五味子),Pregomisin,-8.48,
ACC2_5KKN,Schisandra chinensis(五味子),Chamigrenal,-7.445,
ACC2_5KKN,Ganoderma lucidum(灵芝),Lucidenic acid A,-9.209,
ACC2_5KKN,Ganoderma lucidum(灵芝),Lucidenic acid B,-8.835,
ACC2_5KKN,Ganoderma lucidum(灵芝),Lucidenic acid C,-8.94,
ACC2_5KKN,Ganoderma lucidum(灵芝),Lucidenic acid F,-8.923,
ACC2_5KKN,Ganoderma lucidum(灵芝),Lucidenic acid N,-8.558,
ACC2_5KKN,Ganoderma lucidum(灵芝),Lucidenic acid O,-8.61,
ACC2_5KKN,Coptis chinensis(黄连),Berberine,-9.454,
ACC2_5KKN,Coptis chinensis(黄连),Coptisine,-10.4,
ACC2_5KKN,Coptis chinensis(黄连),Palmatine,-8.482,
ACC2_5KKN,Coptis chinensis(黄连),Epiberberine,-10.64,
ACC2_5KKN,Coptis chinensis(黄连),Jatrorrhizine,-9.299,
ACC2_5KKN,Coptis chinensis(黄连),Columbamine,-8.298,
ACC2_5KKN,Coptis chinensis(黄连),Magnoflorine,-8.54,
ACC2_5KKN,Coptis chinensis(黄连),Berberrubine,-9.77,
ACC2_5KKN,Coptis chinensis(黄连),Worenine,-10.08,
ACC2_5KKN,Coptis chinensis(黄连),Canadine,-8.861,
ACC2_5KKN,Coptis chinensis(黄连),Stylopine,-11.19,
ACC2_5KKN,Coptis chinensis(黄连),Groenlandicine,-10.47,
ACC2_5KKN,Coptis chinensis(黄连),Menisperine,-7.605,
ACC2_5KKN,Coptis chinensis(黄连),8-Oxocoptisine,-11.61,
ACC2_5KKN,Sophora flavescens(苦参),Matrine,-8.21,
ACC2_5KKN,Sophora flavescens(苦参),Oxymatrine,-8.318,
ACC2_5KKN,Sophora flavescens(苦参),Sophoridine,-7.919,
