herb,name,status,note,cid,smiles,formula,mw,logp,hbd,hba,admet_pass,pains,mw_pubchem,fxr_mu_pIC50,fxr_sigma,leverage_h,confidence_weight_w,tier,dG_THRB,dG_ACC,s_FXR,s_THRB,s_ACC,w_conf,CW_BCS,flag_FXR_active,flag_THRB_good,flag_ACC_good,n_targets_covered
Salvia miltiorrhiza(丹参),Dihydrotanshinone I,OK,,11425923.0,C[C@H]1COC2=C1C(=O)C(=O)C3=C2C=CC4=C(C=CC=C43)C,C18H14O3,278.31,3.29,0.0,3.0,True,imine_one_A(321);quinone_D(2),278.3,5.354,0.549,0.0242,0.645,in_domain_high_conf(域内高置信),-8.155,-10.24,0.31309098550115577,0.8577167726816204,0.7999707986567383,0.6455777921239509,0.5176,False,True,True,2
Salvia miltiorrhiza(丹参),Tanshindiol C,OK,,126072.0,CC1=COC2=C1C(=O)C(=O)C3=C2C=CC4=C3CC[C@H]([C@]4(C)O)O,C18H16O5,312.32,2.15,2.0,5.0,True,imine_one_A(321);quinone_D(2),312.3,5.518,0.6,0.0409,0.625,in_domain_high_conf(域内高置信),-8.099,-9.689,0.34755200672410175,0.8539671911617008,0.7195210979705067,0.625,0.511,False,True,True,2
Sophora flavescens(苦参),N-Methylcytisine,OK,UNCERTAIN,670971.0,CN1C[C@@H]2C[C@H](C1)C3=CC=CC(=O)N3C2,C12H16N2O,204.27,0.9,0.0,2.0,True,,204.27,7.149,0.793,0.0446,0.558,in_domain_low_conf(域内低置信),-7.453,-7.67,0.6902710653498635,0.8107130900569134,0.4247335377427362,0.5577244841048522,0.5099,True,True,True,3
Salvia miltiorrhiza(丹参),Tanshindiol B,OK,,5321620.0,CC1=COC2=C1C(=O)C(=O)C3=C2C=CC4=C3CC[C@@H]([C@]4(C)O)O,C18H16O5,312.32,2.15,2.0,5.0,True,imine_one_A(321);quinone_D(2),312.3,5.517,0.616,0.0409,0.619,in_domain_high_conf(域内高置信),-7.914,-9.749,0.34734187854591314,0.8415801807833947,0.7282815009490438,0.6188118811881188,0.5088,False,True,True,2
Artemisia annua(青蒿),Deoxyartemisinin,OK,,12814879.0,C[C@@H]1CC[C@H]2[C@H](C(=O)O[C@H]3[C@@]24[C@H]1CC[C@](O3)(O4)C)C,C15H22O4,266.34,2.46,0.0,4.0,True,,266.33,6.341,0.977,0.0611,0.506,OOD_warning(域外预警),-10.28,-8.178,0.520487497373398,1.0,0.498904949627683,0.5058168942842691,0.5083,False,True,True,2
Salvia miltiorrhiza(丹参),Tanshindiol A,OK,,16730071.0,CC1=COC2=C1C(=O)C(=O)C3=C2C=CC4=C3CCC[C@]4(CO)O,C18H16O5,312.32,2.15,2.0,5.0,True,imine_one_A(321);quinone_D(2),312.3,5.447,0.592,0.035,0.628,in_domain_high_conf(域内高置信),-8.004,-9.761,0.3326329060727044,0.8476062939404084,0.730033581544751,0.6281407035175879,0.5057,False,True,True,2
Salvia miltiorrhiza(丹参),Danshenxinkun B,OK,,5320113.0,CC1=C2C=CC3=C(C2=CC=C1)C(=O)C(=O)C(=C3O)C(C)C,C18H16O3,280.32,3.84,1.0,3.0,True,imine_one_A(321);quinone_D(2),280.3,5.292,0.513,0.0131,0.661,in_domain_high_conf(域内高置信),-8.171,-9.856,0.3000630384534566,0.8587880816873118,0.7439042195941014,0.6609385327164574,0.5023,False,True,True,2
Salvia miltiorrhiza(丹参),Tanshinone IIB,OK,,318797.0,CC1=COC2=C1C(=O)C(=O)C3=C2C=CC4=C3CCCC4(C)CO,C19H18O4,310.35,3.22,1.0,4.0,True,imine_one_A(321);quinone_D(2),310.3,5.18,0.492,0.0205,0.67,in_domain_high_conf(域内高置信),-8.888,-9.925,0.27652868249632273,0.9067961165048544,0.7539786830194191,0.6702412868632708,0.5023,False,True,True,2
Silybum marianum(水飞蓟),Neosilyhermin A,OK,,42607997.0,COC1=C(C=CC(=C1)C2C(C3=C(C=CC(=C3O2)O)[C@H]4CC(=O)C5=C(C=C(C=C5O4)O)O)CO)O,C25H22O9,466.44,3.43,5.0,9.0,True,,466.4,6.2,0.626,0.0857,0.615,OOD_warning(域外预警),-4.381,-9.494,0.49085942424879186,0.6050217609641783,0.6910497882902614,0.6150061500615006,0.5016,False,False,True,1
Salvia miltiorrhiza(丹参),Tanshinone IIA,OK,,164676.0,CC1=COC2=C1C(=O)C(=O)C3=C2C=CC4=C3CCCC4(C)C,C19H18O3,294.35,4.25,0.0,3.0,True,imine_one_A(321);quinone_D(2),294.3,5.146,0.449,0.0209,0.69,in_domain_high_conf(域内高置信),-8.742,-9.871,0.26938432443790716,0.8970204218279212,0.7460943203387357,0.6901311249137336,0.4992,False,True,True,2
