,log2FC,p,padj
BTRC,-0.038611549108077625,0.6312244402755783,0.7074985140983964
BUB3,-0.361630100571773,0.0024238545382934138,0.008602525294704066
BUD13,0.15143213863044203,0.03347507469021646,0.06678259629916837
BUD23,-0.07234472815005333,0.09178795250443768,0.15115649671852618
BUD31,-0.017581269889999973,0.8269105342280234,0.8664346575879226
BYSL,0.36637667044631783,0.011730940768866877,0.02879213732653593
BZW1,-0.23740395318166563,0.21374207847152224,0.2975602834606194
BZW2,-0.2679327180509734,0.06026077786369683,0.10684955665155088
C10orf143,0.5226448905141998,0.004560346051036886,0.013881562510828088
C11orf21,-0.2862979403719663,0.2009155540228143,0.28354530923412835
C11orf24,-0.07425277505170769,0.5127460982398918,0.6004190901538954
C11orf58,-0.25726549227667306,0.06310097436354713,0.11106210568764022
C11orf65,-0.4760476242237086,0.008118924966535263,0.02163642904820012
C11orf68,-0.003273794715312306,0.9654496123627924,0.9754615725463057
C11orf71,-0.8217895391913768,1.0530921682882401e-06,5.9102756301990955e-05
C11orf96,-1.1202353856804868,0.007046558776377126,0.019377545333363166
C12orf43,0.07121442320869509,0.2922034884643396,0.38284216393778847
C12orf57,0.04557417487832893,0.8080748868026834,0.8518561341761397
C12orf60,-0.27810091170082174,0.21426608323830668,0.2981004646534216
C12orf65,-0.2039171087529681,0.17243375295792734,0.2508040642105074
C12orf75,-0.23264451975495604,0.39723154223939083,0.49155955170521287
C12orf76,-0.48699830314081716,5.2045099903915504e-05,0.0006068698573015963
C14orf119,-0.22824958885141022,0.004314599374973202,0.013312203982881195
C14orf132,0.5244300227180174,0.009497282835642417,0.024374197295064334
C14orf180,-0.44506700731091176,0.24981789958637574,0.33819008164466857
C14orf93,-0.3710762752264447,0.0006333102268031856,0.0032437419833108647
C15orf39,0.8133209326768371,0.00012461991161698393,0.0010734287475430188
C15orf40,-0.4373243183660236,0.00021675515546787177,0.0015462026501671677
C15orf61,-0.531220959517599,0.00044700055203992324,0.002548503797564417
C15orf62,0.515479866137639,0.061251472885438404,0.1082995863506078
C16orf54,0.12967603111113757,0.44729950661625806,0.5402507264025382
C16orf86,0.6200808020441197,0.053537632421442445,0.0972087906183369
C16orf87,-0.8422573237481599,0.00018964104482104702,0.001422541998437204
C17orf100,-0.8546892913645836,0.05324693826219941,0.09678786331712393
C17orf107,0.16866262060402626,0.15883134526401876,0.23481046243201517
C17orf58,-0.6601467426882817,0.0008108893761690098,0.0038629583356577274
C17orf67,-0.9082748109673426,0.0071364566127394575,0.01954723320020035
C17orf75,-0.2581665587185711,0.010811603899664214,0.026963410332249416
C18orf32,0.7049551840274217,0.00019448179300033942,0.0014455749235993685
C19orf12,-0.06555082835076043,0.7003702854878386,0.7652409341270594
C19orf18,-0.9454635924922101,0.007995312525776831,0.02139620460865568
C19orf25,1.3643685926301599,1.3215434421995999e-05,0.00026217588077302164
C19orf38,-0.14514944019856735,0.45855501360993,0.5511157251593121
C19orf44,0.31862744217991334,0.10753992446226635,0.17138890421085537
C19orf47,0.8255536721325578,0.000931489010044119,0.004288800228729926
C19orf53,-0.3189160248838956,0.008630972149882725,0.022658832480246083
C1D,-0.4502502597747382,0.04392746340659954,0.08278806794483504
C1GALT1,-0.9068070251454206,2.3315621206375887e-07,2.4924213824139222e-05
C1GALT1C1,-0.1592455898001397,0.10058103125976484,0.16296406801671431
C1QA,-0.26865148639075187,0.17584081532277548,0.254801613301803
C1QB,0.2122692322834645,0.42586809867927156,0.5197108092344089
C1QBP,0.05572610497833885,0.6041262948192427,0.6842394864167313
C1QC,0.7026586564492305,0.005336926754662295,0.01564443895789462
C1QTNF1,0.06049414323191371,0.7750095386273488,0.825601398037217
C1QTNF3,-1.422555246820287,0.0005629289911366332,0.002975137690411796
C1QTNF6,0.5606175677208372,0.054652146646930445,0.09885034170064304
C1QTNF7,-0.26457074967796235,0.19703895415696845,0.27894234894269787
C1R,-0.274966617469536,0.033501085854665595,0.06681446379705575
C1RL,-0.18988263529539395,0.22279691419737419,0.30775549384982803
C1S,-0.2067971916924911,0.010533443557087647,0.026414944348212357
C1orf115,-0.26373192340933826,0.008506926307885344,0.022423166678880946
C1orf122,0.32664871944358076,0.04279751108082575,0.0811117670383431
C1orf159,1.3152514657496237,0.00376634240793829,0.012052859887807115
C1orf162,-0.6749547431767118,0.012200047216247982,0.02969965223677766
C1orf174,-0.09541941611638372,0.37737140308258954,0.47177702354769513
C1orf198,0.46605801668073354,0.005068450591030891,0.015028253071196868
C1orf21,0.10296564756365711,0.677279236468302,0.7458894529226358
C1orf210,0.14752450561209862,0.5482618042945611,0.6330688712041402
C1orf216,0.7717104040485472,0.0014195745683992888,0.005793256065205041
C1orf226,0.3670208738730274,0.021038573994611287,0.0459897563156261
C1orf35,-0.056288518089770534,0.7698287949055749,0.8214796478495072
C1orf50,-0.4652826583348455,0.0003527377033071026,0.002162964574171711
C1orf52,-0.9694505171179042,9.191860355302765e-06,0.00021654582283130362
C1orf53,-0.788165111510196,4.194197261286949e-05,0.0005284951101172842
C1orf54,-0.8976618723788512,0.00350628071039603,0.011412548919534516
C1orf74,0.24655013410680482,0.14619741219654697,0.21985982289609207
C2,-0.5881312191831505,0.00019117646481249176,0.001431972688883089
C20orf96,0.23239600456847498,0.1677911841255663,0.2454902608235343
C21orf58,0.7083170396034739,0.07575171284489823,0.1292633989425203
C21orf91,-0.9431595903568075,0.006124265154121532,0.017394507279230545
C22orf39,-0.12140692912993067,0.15380560260361092,0.22851209874903589
C2CD2,0.06850178842226029,0.39711654894049064,0.4914634896701424
C2CD2L,0.5252835256888506,0.007310789489847658,0.019942605024477228
C2CD3,0.33933841707055645,0.008970712870013907,0.023355460486795907
C2CD5,-0.7071644025890294,0.00018970110737161528,0.001422541998437204
C2orf42,-0.12085126825042014,0.36390165468232927,0.4581941222086125
C2orf49,0.05331877532982343,0.586198065622582,0.6680179481141761
C2orf68,-0.21667466660232293,0.013790061890681056,0.032846918516502704
C2orf69,-0.6521827484092082,0.0027728045472722894,0.0095373164775817
C2orf72,-0.07812221089674587,0.47354634407196716,0.565409864159276
C2orf76,-0.7659071856397421,0.0023288832318111483,0.008364773661390507
C2orf92,-0.6277066217290885,0.07877358898453111,0.1333866332293758
C3,0.3029196148993165,0.024335971777256188,0.05169428888666839
C3AR1,0.2948354585746866,0.25704099932937513,0.34576194151966366
C3orf18,0.07521140978325747,0.6072973553379617,0.6868846947080756
C3orf33,-0.3789917951756072,0.0015469585027716188,0.006175882622703046
C3orf38,-0.3596643522979184,0.02673965577806717,0.05574541995830131
C3orf62,-0.18585252537095176,0.1798087140086216,0.2590104057995181
C3orf85,-0.5668422550877246,0.000814916226350573,0.003877928048187079
C4A,1.385047368006692,0.0006726759776698264,0.00339148104886785
C4B,1.4867761176073628,0.0037947736398854246,0.01212256233934952
C4BPA,-0.3130947953833516,0.0017600384934879027,0.0067840940594764134
C4BPB,-0.5492218295379505,9.208036331337717e-05,0.000878211507758078
C4orf33,-0.7197121302205263,0.002040384987531177,0.007587555482328972
C4orf36,-0.04134814088794503,0.7535234041105751,0.8083452224611364
C4orf46,-0.5910151354035911,0.0004139634789757422,0.002412329386735849
C5,0.07211089477748267,0.2550205291858453,0.3436063327577774
C5AR1,-0.5891318347172163,0.14393142408864606,0.2170771724616399
C5AR2,-0.7821879126190829,0.021455044744892012,0.046760265704981714
C5orf15,-0.5864637625111726,2.1146582825395808e-05,0.0003534193188086799
C5orf22,-0.16058185732358599,0.21405354243430488,0.29790289107291784
C5orf24,-0.6580508110737675,0.0001370856979375954,0.0011462734805932563
C5orf63,-0.019215602583734892,0.9120771772906278,0.9343108343382888
C6,0.15807945992128047,0.3008427980447255,0.3920912923783467
C6orf120,0.16510247057938443,0.2233812453491193,0.3083477392802833
C6orf136,0.024497420211213594,0.8111336426457703,0.8543958358068244
C6orf141,-0.13391396950893064,0.7412950028460277,0.7984157527377826
C6orf47,0.48871427883642937,0.0003458196561732162,0.0021324734822533113
C6orf62,-0.4957173177735452,0.0016486968858356141,0.006467435174290437
C6orf89,0.6665490880312053,3.5648596951052156e-05,0.00047901592830321924
C7,-0.23764635732141848,0.3519343226227726,0.4463400005262103
C8A,-0.3762094495660193,0.0027077228128970427,0.009374750765473758
C8B,-0.05375001839371052,0.544738864249142,0.6302181617969007
C8G,1.0264566691976356,0.001929118164711782,0.007264154371730338
C8orf33,0.36657244197717453,0.017573920828075292,0.03980536949400281
C8orf58,-0.42180095204128687,0.04681978712200121,0.08731329363613809
C8orf76,-1.4498196604534614,5.055236521163767e-07,3.700630682315119e-05
C8orf82,-0.3423100127569949,0.01236179439053263,0.030014526748006046
C9,-0.9791460995115528,0.00027193064665847127,0.0018155856829943514
C9orf152,2.5259486610832917,2.3996465095829312e-08,6.069721257796979e-06
C9orf40,-0.8163375249210914,0.00011716575184680318,0.0010292456812016242
C9orf43,-0.6309091851053079,0.0013732648529430288,0.005653381098829314
C9orf72,-1.3540150135260767,2.5419417523837727e-05,0.00039058597977924953
C9orf78,-0.3009325448252067,0.0012003016697133234,0.0051364010066885695
C9orf85,-0.2754111934003296,0.0017064577092877065,0.006640543861024024
CA11,-0.5731113051111691,0.006992348681887023,0.01927291747964376
CA12,2.4397906807967886,0.014960459631709997,0.03493872967611534
CA13,-0.7436292917617822,0.0007572936324828977,0.0036850474095625426
CA14,-0.058291713778128695,0.8897654477029341,0.9170946296137394
CA2,0.13250655156315005,0.3427745367441417,0.4365648690158021
CA3,-0.7696836613776732,0.00691440379727293,0.01910612461040564
CA5A,0.07315363653748008,0.5873975745969603,0.6689791582538591
CA5B,-0.8099287728039561,3.5154965316919934e-05,0.0004752243153272845
CA9,0.13395325460880514,0.6127791635549935,0.6913015128431966
CAAP1,-0.881006965206006,0.0009756525438075347,0.004420515986462454
CAB39,-0.1523839509427809,0.13302706835271377,0.20361981031575052
CAB39L,-0.16962257946994175,0.058108882375073743,0.10380363029734414
CABIN1,0.9946327577154079,0.0018471029861258815,0.007033858012887586
CABLES1,0.32286548432534623,0.010484520261496095,0.026333769473711556
CABLES2,0.18356153500881778,0.3869208163412883,0.4813185846316786
CABP4,-0.3842861893862186,0.11674840677590424,0.1830919034605304
CACFD1,0.881580283754527,0.0005057276630054995,0.002761243649444307
CACHD1,-0.02526267574262775,0.9120318910443616,0.9343108343382888
CACNA1C,0.5233939840307511,0.3791462124511097,0.4732311759697709
CACNA1D,0.44036291632564417,0.024682650582985022,0.05230399599130047
CACNA1H,1.1855153047836158,0.03236666619451334,0.06515438635696877
CACNA2D1,-0.6012178938738968,0.016742852843832617,0.03822578431781469
CACNA2D4,-0.4076369160270099,0.11334958328497355,0.17872352321692261
CACNB2,-0.26268214540117274,0.16806787101895676,0.24581304431361486
CACNB3,0.2853246796493796,0.13196617454650295,0.20232557335472123
CACTIN,0.7972674663059864,0.0037150553866675444,0.011964770690704753
CACUL1,-0.1944074669014686,0.005007906504878784,0.014885648420038563
CACYBP,-0.1693314845143039,0.2454086917720681,0.3333189304913271
CAD,0.5006513534390944,0.00419748127531639,0.013042634352524562
CADM1,0.09350489770906734,0.36755080137208374,0.46218951061666524
CADM4,0.15884818633165665,0.21970266434835978,0.3040880926206436
CADPS2,0.02386378537361189,0.812911172717252,0.8555914793728855
CALCOCO1,0.2131633374405535,0.15125166644049853,0.22576515135849173
CALCOCO2,-0.10543081065059212,0.09049704934575495,0.14953614196541645
CALCRL,-0.442817008491029,0.04729327853287795,0.08802157811559978
