,log2FC,p,padj
PCOLCE,0.35770512852187153,0.1334822963616521,0.20779886898388095
PCOLCE2,-0.7145730806599122,0.010136325636383524,0.026550236226402398
PCP2,0.3093626011151107,0.5581329708770346,0.6456572529415687
PCP4L1,0.4104017094548693,0.18792464902704895,0.27482566045937706
PCSK4,0.23127681217659024,0.5201237566762449,0.610765804085586
PCSK5,1.0457686452876978,0.0005201059502687382,0.0028587352962326424
PCSK6,0.5828456080415609,0.004356899327319615,0.01381540425560147
PCSK7,0.25830212134249564,0.10046559615156046,0.16602889636656298
PCSK9,0.9954308883185607,0.000482292292872298,0.00270630995228214
PCTP,-0.4792838376643278,0.0011610910987647249,0.005147462567681062
PCYOX1,0.26967068135020256,0.09333293604171286,0.15664260657862056
PCYOX1L,0.00570484980442032,0.9692473240264334,0.9776464764508956
PCYT1A,0.23814311934651045,0.0006103295754705124,0.003209782049645602
PCYT2,0.49291665409315755,0.023465927196809063,0.051769094334053946
PDAP1,-0.0721947279683679,0.2284673114081262,0.3202633003251715
PDCD10,-0.2625885283402738,0.09270068647249205,0.15575878699574258
PDCD11,0.662751012033822,4.0036662231338784e-05,0.0004731376624697206
PDCD1LG2,-0.7414261572513796,0.020267140463008305,0.04610858950340532
PDCD2,-0.27243951885935935,0.00530558730691734,0.01597993813782546
PDCD2L,-0.3560466061963785,0.05034554807697709,0.09532379581994192
PDCD4,-0.22979300809057968,0.04225145637033031,0.08266152099344855
PDCD5,-0.7768410179469569,1.128076451613879e-07,9.958113804078759e-06
PDCD6,-0.4254574605606116,4.252138933117615e-06,0.00010693763553976289
PDCD6IP,-0.0851857319926399,0.33005021569944426,0.4282058085514687
PDCD7,-0.333772745279159,0.0026022475339508885,0.009416662198476011
PDCL,-0.26664878617815546,0.03440758335594292,0.07022671817584396
PDCL3,0.23235282646776945,0.046909248338873784,0.0900633311882183
PDE10A,-0.36808525284567395,0.030111234784348573,0.06325715877951393
PDE11A,0.9884734506856967,0.037960008294181544,0.07584893960047642
PDE12,0.0077836074227430885,0.9470204010803189,0.9617170580149347
PDE1A,-0.18441425539607614,0.2878204542427923,0.38507806272560746
PDE1B,-0.3930284382074847,0.15706015637491344,0.2372149023172237
PDE2A,-0.2812580593546343,0.2023492160330589,0.29138375722386944
PDE3A,-0.5785345590293636,0.016429228022746826,0.03897089922149486
PDE3B,-0.36396452731305473,0.1451070830003917,0.2225505436921819
PDE4A,0.02258047351905823,0.8950292647222384,0.9238989106020721
PDE4B,-0.4060441861928785,0.23785189405389054,0.33084453918050155
PDE4D,-0.5710983971688837,0.01178553839902105,0.029914161822138918
PDE4DIP,0.04379945407709407,0.7316760886445706,0.7947031418983657
PDE5A,-0.08896639469434398,0.6785442424299029,0.7501170298100952
PDE6D,-0.24930004224204083,0.007206543824987058,0.02023216028389643
PDE6G,-0.7260209976897034,0.0065547934179451236,0.01881037935281903
PDE7A,-0.3688269350485456,0.05408452830621861,0.10097569919257536
PDE7B,-0.13945322128843074,0.6915359303884598,0.7608341357088593
PDE8A,-0.26925311152783493,0.0038028410087310744,0.012470398351493349
PDE8B,-0.4451131918898845,0.17729402084996246,0.2623597441576111
PDE9A,-0.37614203249287126,0.09406012074930815,0.15760162652428664
PDGFA,2.088094605721449,0.0005583328869522854,0.0030030987980672846
PDGFB,0.3145263537677536,0.14766784356021237,0.22592475821187313
PDGFC,-0.6382759899208361,0.0002258788845158297,0.0015921677213487182
PDGFD,-0.07643453004169665,0.7629872694517488,0.8197656882126165
PDGFRA,0.5220942090303922,0.010600724640733996,0.027512101657374555
PDGFRB,0.6414145700609843,0.005168522378202472,0.01566395733652007
PDHA1,0.09151997652011445,0.06297927040403875,0.11388044317078934
PDHB,0.06866129483702998,0.5329456428680011,0.6219354130638646
PDHX,-0.38528429415886123,0.0034161416025660163,0.011451069588017414
PDIA3,0.04440091085961839,0.7559404194362612,0.8141230112867555
PDIA4,0.35584129076120696,0.0118235925140668,0.029981822312998
PDIA5,-0.326541075316765,1.7708718910459934e-05,0.0002695865507283328
PDIA6,0.34850392490144344,0.011723413928383497,0.029785216032456662
PDIK1L,-0.3434754310024477,0.03344892777332695,0.06867838698135643
PDK1,-0.281732993264157,0.07880698049076007,0.1362266019706883
PDK2,0.3479816103608364,0.07403106745657116,0.12953713319891982
PDK3,0.03896079468302638,0.8179571157773909,0.8634276104240612
PDK4,-1.6962294510188372,0.0003768687553971271,0.0022780122884827267
PDLIM1,-0.044825689991169426,0.7406925043161386,0.8017717479442162
PDLIM2,0.36839487476261557,0.052741499602495225,0.09890400824281324
PDLIM3,-0.3148133571626124,0.1485945258156341,0.22699927968095646
PDLIM5,-0.6166454536176946,2.688338646701248e-06,7.910451503369467e-05
PDLIM7,0.39853149780231245,0.1074711509778763,0.17533714324138017
PDP1,-0.5932058940284088,0.0021035893666136378,0.008005934878202886
PDP2,0.8934981252413561,0.00031077232485603553,0.0019939455555275294
PDPK1,0.23388819706585195,0.02614934738883693,0.05652121489470162
PDPR,0.27560078165043933,0.03533341185470083,0.07164180146830276
PDRG1,0.3573207049200544,0.00029055582606178236,0.0019003882546944919
PDS5A,-0.4257408522939219,0.0001139880178852234,0.0009685299736720565
PDS5B,-0.15733489820189916,0.028829516821316056,0.061042278614096925
PDSS1,0.1574643309022994,0.43507386537492654,0.5323280512815264
PDSS2,0.34350922069709533,0.02032137477536182,0.046203464549755234
PDXDC1,0.1254441225971803,0.07304948445732558,0.12809223691070568
PDXK,0.7452204621928864,8.973854163150779e-05,0.000822135448146798
PDZD11,-0.4568008373128052,0.0016509536722135705,0.006695958572502342
PDZD2,-0.07922262059747887,0.7529076934265662,0.811729197223816
PDZD4,0.19614855594956815,0.402142167623586,0.4997048588335406
PDZD8,0.01821188480118252,0.9043331743954852,0.9310186476850202
PDZK1,0.28991211027006436,0.018835504188454692,0.04360911575263943
PDZK1IP1,2.5770918477377394,2.236242098406121e-05,0.000320057587816493
PDZRN3,-0.44997975553245695,0.17073075727934245,0.2543460924787848
PEA15,-0.0900351040480789,0.49159722462753286,0.5856333933091151
PEAK1,0.14628388324096964,0.06088447839743285,0.11083924489431615
PEAR1,-0.02574432831322948,0.860023256517517,0.8968434070383653
PEBP1,-0.8227555044064374,4.329168310079373e-09,1.0743688826881885e-06
PEBP4,0.4284731229690615,0.5009454839272691,0.5942524568472266
PECAM1,0.32235434068095614,0.10663072872883199,0.17422533850563068
PECR,-0.5527965779369453,6.88417270878205e-05,0.0006797862135030804
PEDS1,-0.1387199581253018,0.2328754926595179,0.32537117702075163
PEF1,0.2102630434834598,0.023750115323280207,0.052273304358618565
PEG10,-0.031400640212430275,0.9507540427156727,0.9643917578344445
PEG3,-0.838126545860546,0.00043895448649232226,0.0025378322465202264
PELI1,-1.053429132352524,0.00012347086475455917,0.0010272057458043749
PELI2,-1.7694671400917246,5.130959242586911e-07,2.8356095343590608e-05
PELI3,-0.09046390907018509,0.5228767654557762,0.6135028567215561
PELO,0.1276281623510087,0.36839952395001097,0.46668197423812907
PELP1,0.06739708190577609,0.6690922094728227,0.7425387977721933
PEMT,0.6100774435132124,0.0010669063672107556,0.004820686859472026
PEPD,0.6161708257304213,0.0021339419833951217,0.008085929016109722
PER1,-0.1035330803050698,0.7010537759541124,0.7686055109714462
PER2,-0.9965522088545384,3.20925079287169e-05,0.0004094207146327967
PER3,-0.2610360091446573,0.4036148884938203,0.5011561057641102
PERP,0.12751354575464902,0.4697335949190862,0.5649086563016129
PES1,0.5497731091290294,3.861249219298478e-05,0.0004604443425333897
PET100,-1.0054878919460455,4.096098578632356e-05,0.0004806064639139284
PEX1,0.07815850851568662,0.44198977093148384,0.5387851211364046
PEX10,0.10877470277178869,0.3661953638641029,0.4646237111339127
PEX11A,0.11014133083584099,0.378966412451051,0.47721830760829814
PEX11B,-0.004571756430133078,0.940980309655936,0.9568727301571394
PEX11G,0.707183193034961,0.01029708708046989,0.026872536978059615
PEX12,-0.16718333447536615,0.10226393788927107,0.16850290691066072
PEX13,-0.5905157058707005,1.7108964034943097e-05,0.0002653705235278379
PEX14,0.48228924808996343,0.010116382998052587,0.026511413742455803
PEX16,0.5542515335089053,0.02016423426316065,0.045925571127853164
PEX19,-0.21047549990534087,0.08441409369673765,0.14419462005106368
PEX2,-0.39207842604806586,0.004286860074081914,0.013639349432607504
PEX26,0.47380828072039094,3.844049334473788e-06,0.00010051845108615057
PEX3,-0.3031520995603163,0.008236711650286213,0.022492485703073058
PEX39,0.04581524198008147,0.7383177926933819,0.800189018399477
PEX5,0.2061806310194303,0.08816442807173042,0.14947828554274062
PEX6,0.827753681022962,0.00047263960748674327,0.0026698651450627175
