target_label,target_chembl_id,target_pref_name,target_organism,target_tax_id,activity_id,record_id,molecule_chembl_id,parent_molecule_chembl_id,molecule_pref_name,canonical_smiles,assay_chembl_id,assay_description,assay_type,bao_format,bao_label,assay_variant_accession,assay_variant_mutation,document_chembl_id,document_journal,document_year,standard_type,standard_relation,standard_value,standard_units,standard_upper_value,pchembl_value,relation,value,units,text_value,data_validity_comment,potential_duplicate,standard_flag,src_id,standard_value_nM,pActivity_nM,endpoint_stratum,quality_flags,training_use
fxr,CHEMBL2047,Bile acid receptor,Homo sapiens,9606,1480514,386732,CHEMBL189425,CHEMBL189425,,COC(=O)/C=C/c1cccc(N(Cc2ccc(/C=C/c3cccc(C(F)(F)F)c3)cc2)C(=O)C(C)C)c1,CHEMBL840248,Effective concentration against farnesoid X receptor (FXR),B,BAO_0000357,single protein format,,,CHEMBL1139569,Bioorg Med Chem Lett,2005.0,EC50,=,267.0,nM,,6.57,=,0.267,uM,,,0,1,1,267.0,6.573488738635425,fxr|EC50|B|single protein format|CHEMBL840248,variant_accession_missing;,candidate_after_assay_review
fxr,CHEMBL2047,Bile acid receptor,Homo sapiens,9606,1480515,386888,CHEMBL192701,CHEMBL192701,,COC(=O)/C=C/c1cccc(N(Cc2ccc(/C=C/c3cccc(C(F)(F)F)c3)cc2)C(=O)NC(C)C)c1,CHEMBL840248,Effective concentration against farnesoid X receptor (FXR),B,BAO_0000357,single protein format,,,CHEMBL1139569,Bioorg Med Chem Lett,2005.0,EC50,=,932.0,nM,,6.03,=,0.932,uM,,,0,1,1,932.0,6.030584087646019,fxr|EC50|B|single protein format|CHEMBL840248,variant_accession_missing;,candidate_after_assay_review
fxr,CHEMBL2047,Bile acid receptor,Homo sapiens,9606,1480516,386665,CHEMBL447784,CHEMBL447784,,COC(=O)/C=C/c1cccc(N(Cc2ccc(/C=C/c3c(F)cccc3F)cc2)C(=O)C(C)C)c1,CHEMBL840248,Effective concentration against farnesoid X receptor (FXR),B,BAO_0000357,single protein format,,,CHEMBL1139569,Bioorg Med Chem Lett,2005.0,EC50,=,108.0,nM,,6.97,=,0.108,uM,,,0,1,1,108.0,6.966576244513051,fxr|EC50|B|single protein format|CHEMBL840248,variant_accession_missing;,candidate_after_assay_review
fxr,CHEMBL2047,Bile acid receptor,Homo sapiens,9606,1480517,386667,CHEMBL189728,CHEMBL189728,,COC(=O)/C=C/c1cccc(N(Cc2ccc(/C=C/c3ccccc3F)cc2)C(=O)C2CCCCC2)c1,CHEMBL840248,Effective concentration against farnesoid X receptor (FXR),B,BAO_0000357,single protein format,,,CHEMBL1139569,Bioorg Med Chem Lett,2005.0,EC50,=,64.0,nM,,7.19,=,0.064,uM,,,0,1,1,64.0,7.1938200260161125,fxr|EC50|B|single protein format|CHEMBL840248,variant_accession_missing;,candidate_after_assay_review
fxr,CHEMBL2047,Bile acid receptor,Homo sapiens,9606,1480518,386830,CHEMBL190440,CHEMBL190440,,COC(=O)/C=C/c1cccc(N(Cc2ccc(/C=C/c3ccccc3F)cc2)C(=O)NC(C)C)c1,CHEMBL840248,Effective concentration against farnesoid X receptor (FXR),B,BAO_0000357,single protein format,,,CHEMBL1139569,Bioorg Med Chem Lett,2005.0,EC50,=,431.0,nM,,6.37,=,0.431,uM,,,0,1,1,431.0,6.3655227298392685,fxr|EC50|B|single protein format|CHEMBL840248,variant_accession_missing;,candidate_after_assay_review
fxr,CHEMBL2047,Bile acid receptor,Homo sapiens,9606,1480522,386814,CHEMBL190553,CHEMBL190553,,COC(=O)/C=C/c1cccc(N(Cc2ccc(/C=C/c3c(C)cc(C)cc3C)cc2)C(=O)C(C)C)c1,CHEMBL840248,Effective concentration against farnesoid X receptor (FXR),B,BAO_0000357,single protein format,,,CHEMBL1139569,Bioorg Med Chem Lett,2005.0,EC50,=,149.0,nM,,6.83,=,0.149,uM,,,0,1,1,149.0,6.826813731587726,fxr|EC50|B|single protein format|CHEMBL840248,variant_accession_missing;,candidate_after_assay_review
fxr,CHEMBL2047,Bile acid receptor,Homo sapiens,9606,1480523,386837,CHEMBL190499,CHEMBL190499,,COC(=O)/C=C/c1cccc(N(Cc2ccc(/C=C/c3c(C)cc(C)cc3C)cc2)C(=O)NC(C)C)c1,CHEMBL840248,Effective concentration against farnesoid X receptor (FXR),B,BAO_0000357,single protein format,,,CHEMBL1139569,Bioorg Med Chem Lett,2005.0,EC50,=,431.0,nM,,6.37,=,0.431,uM,,,0,1,1,431.0,6.3655227298392685,fxr|EC50|B|single protein format|CHEMBL840248,variant_accession_missing;,candidate_after_assay_review
fxr,CHEMBL2047,Bile acid receptor,Homo sapiens,9606,1480524,386858,CHEMBL427528,CHEMBL427528,,COC(=O)/C=C/c1cccc(N(Cc2ccc(/C=C/c3cccc(F)c3)cc2)C(=O)C2CCCCC2)c1,CHEMBL840248,Effective concentration against farnesoid X receptor (FXR),B,BAO_0000357,single protein format,,,CHEMBL1139569,Bioorg Med Chem Lett,2005.0,EC50,=,86.0,nM,,7.07,=,0.086,uM,,,0,1,1,86.0,7.0655015487564325,fxr|EC50|B|single protein format|CHEMBL840248,variant_accession_missing;,candidate_after_assay_review
fxr,CHEMBL2047,Bile acid receptor,Homo sapiens,9606,1480525,386878,CHEMBL192772,CHEMBL192772,,COC(=O)/C=C/c1cccc(N(Cc2ccc(/C=C/c3cccc(F)c3)cc2)C(=O)C(C)C)c1,CHEMBL840248,Effective concentration against farnesoid X receptor (FXR),B,BAO_0000357,single protein format,,,CHEMBL1139569,Bioorg Med Chem Lett,2005.0,EC50,=,71.0,nM,,7.15,=,0.071,uM,,,0,1,1,71.0,7.1487416512809245,fxr|EC50|B|single protein format|CHEMBL840248,variant_accession_missing;,candidate_after_assay_review
fxr,CHEMBL2047,Bile acid receptor,Homo sapiens,9606,1480526,386541,CHEMBL364810,CHEMBL364810,,COC(=O)/C=C/c1cccc(N(Cc2ccc(/C=C/c3ccc(F)cc3)cc2)C(=O)C(C)C)c1,CHEMBL840248,Effective concentration against farnesoid X receptor (FXR),B,BAO_0000357,single protein format,,,CHEMBL1139569,Bioorg Med Chem Lett,2005.0,EC50,=,120.0,nM,,6.92,=,0.12,uM,,,0,1,1,120.0,6.920818753952375,fxr|EC50|B|single protein format|CHEMBL840248,variant_accession_missing;,candidate_after_assay_review
fxr,CHEMBL2047,Bile acid receptor,Homo sapiens,9606,1480527,386653,CHEMBL194004,CHEMBL194004,,COC(=O)/C=C/c1cccc(N(Cc2ccc(/C=C/c3ccc(F)cc3)cc2)C(=O)NC(C)C)c1,CHEMBL840248,Effective concentration against farnesoid X receptor (FXR),B,BAO_0000357,single protein format,,,CHEMBL1139569,Bioorg Med Chem Lett,2005.0,EC50,=,348.0,nM,,6.46,=,0.348,uM,,,0,1,1,348.0,6.458420756053419,fxr|EC50|B|single protein format|CHEMBL840248,variant_accession_missing;,candidate_after_assay_review
fxr,CHEMBL2047,Bile acid receptor,Homo sapiens,9606,1480528,386789,CHEMBL370742,CHEMBL370742,,COC(=O)/C=C/c1cccc(N(Cc2ccc(/C=C/c3ccccn3)cc2)C(=O)C2CCCCC2)c1,CHEMBL840248,Effective concentration against farnesoid X receptor (FXR),B,BAO_0000357,single protein format,,,CHEMBL1139569,Bioorg Med Chem Lett,2005.0,EC50,=,309.0,nM,,6.51,=,0.309,uM,,,0,1,1,309.0,6.510041520575165,fxr|EC50|B|single protein format|CHEMBL840248,variant_accession_missing;,candidate_after_assay_review
