herb,name,status,smiles,mw_pubchem,cid
Sedum sarmentosum(垂盆草),sarmentosin,OK,C(/C=C(/CO)\C#N)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O,275.25,5281123.0
Sedum sarmentosum(垂盆草),N-methylalloxanthine,PUBCHEM_NOT_FOUND,,,
Phyllanthus niruri(叶下珠),phyllanthin,OK,COC[C@@H](CC1=CC(=C(C=C1)OC)OC)[C@H](CC2=CC(=C(C=C2)OC)OC)COC,418.5,358901.0
Phyllanthus niruri(叶下珠),hypophyllanthin,OK,COC[C@@H]1CC2=CC(=C3C(=C2[C@@H]([C@H]1COC)C4=CC(=C(C=C4)OC)OC)OCO3)OC,430.5,182140.0
Phyllanthus niruri(叶下珠),nirtetralin,OK,COC[C@H]1CC2=CC3=C(C(=C2[C@H]([C@@H]1COC)C4=CC(=C(C=C4)OC)OC)OC)OCO3,430.5,182644.0
Phyllanthus niruri(叶下珠),niranthin,OK,COC[C@@H](CC1=CC(=C(C=C1)OC)OC)[C@H](CC2=CC3=C(C(=C2)OC)OCO3)COC,432.5,11575632.0
Phyllanthus niruri(叶下珠),phytetralin,PUBCHEM_NOT_FOUND,,,
Morus alba(桑叶),1-deoxynojirimycin,OK,C1[C@@H]([C@H]([C@@H]([C@H](N1)CO)O)O)O,163.17,29435.0
Morus alba(桑叶),oxyresveratrol,OK,C1=CC(=C(C=C1O)O)/C=C/C2=CC(=CC(=C2)O)O,244.24,5281717.0
Morus alba(桑叶),astragalin,OK,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O,448.4,5282102.0
Morus alba(桑叶),isoquercitrin-dup-ok,PUBCHEM_NOT_FOUND,,,
Morus alba(桑叶),moracin N,OK,CC(=CCC1=C(C=C2C(=C1)C=C(O2)C3=CC(=CC(=C3)O)O)O)C,310.3,641376.0
Morus alba(桑叶),moracin M,OK,C1=CC2=C(C=C1O)OC(=C2)C3=CC(=CC(=C3)O)O,242.23,185848.0
Morus alba(桑叶),mulberrofuran G,OK,CC1=C[C@@H]2[C@@H]3[C@@H](C1)C4=C(C=C(C=C4)O)O[C@@]3(OC5=CC(=CC(=C25)O)C6=CC7=C(O6)C=C(C=C7)O)C8=C(C=C(C=C8)O)O,562.6,9959532.0
Polygonum cuspidatum(虎杖),piceid,OK,C1=CC(=CC=C1/C=C/C2=CC(=CC(=C2)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O)O,390.4,5281718.0
Polygonum cuspidatum(虎杖),catechin,OK,C1[C@@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,290.27,9064.0
Polygonum cuspidatum(虎杖),torachrysone,OK,CC1=CC2=CC(=CC(=C2C(=C1C(=O)C)O)O)OC,246.26,5321977.0
