canonical_smiles,name,organism,pathway,pAct_ACC2,pAct_DGAT2,pAct_FASN,pAct_FDFT1,pAct_FXR,pAct_HMGCR,pAct_LXRa,pAct_PPARG,pAct_SCD,pAct_THRb,top3_mean,max_pAct,n_active,MTS,admet_ok,pains,mw2,obscure,final
CC(C)(O)[C@H](O)CC1=C(O)C=C2OC=C(C3=CC=C4O[C@@H](C(C)(C)O)CC4=C3)C(=O)C2=C1O,,Lupinus albus,Shikimates and Phenylpropanoids,6.72,7.69,5.28,6.46,6.93,7.0,5.74,5.7,5.13,6.66,7.21,7.69,5,35.0,True,False,456.49100000000027,1.0,36.75
CC1(C)[C@@H]2C3=CC([C@H]4CC(=O)C5=C(O)C=C(O)C=C5O4)=C(O)C=C3O[C@@]3(C)CC[C@H]1[C@H]23,,Morus alba,Shikimates and Phenylpropanoids,6.79,7.57,4.46,7.44,6.54,5.16,5.84,5.3,5.03,6.63,7.27,7.57,5,34.97,True,False,422.4770000000002,1.0,36.72
COC1=CC=C(C2=C(C3=C(OC)C=C4O[C@@H](C5=CC=C(O)C=C5)CC(=O)C4=C3O)C(=O)C3=C(O)C=C(OC)C=C3O2)C=C1,,Actinobacillus equuli|Cissus rheifolia|Cytisus uniflorus|Etlingera elatior|Hymenoxys lemmoni|Psidium araca|Selaginella delicatula,Shikimates and Phenylpropanoids,6.5,7.18,5.1,7.51,6.84,6.36,5.89,5.6,5.11,6.92,7.2,7.51,5,34.95,True,False,582.5610000000003,1.0,36.7
CC(C)=CCC1=C(O)C=CC2=C1C(=O)C1=C(O)C=C3OC(C)(C)C=CC3=C1O2,"6,9-dihydroxy-3,3-dimethyl-8-(3-methylbut-2-enyl)pyrano[2,3-c]xanthen-7-one",Maclura cochinchinensis|Maclura tricuspidata,Shikimates and Phenylpropanoids,6.71,7.69,5.17,6.53,6.71,5.72,5.73,5.59,5.23,7.29,7.23,7.69,5,34.93,True,False,378.42400000000015,1.0,36.68
C=C(C)[C@H]1COC2=C(C)C=C3OC4=C(C[C@H](OC=O)C(C)(C)O)C=CC(O)=C4C(=O)C3=C2[C@@H]1O,varixanthone,Aspergillus stellatus|Emericella variecolor,Polyketides,6.64,7.65,5.24,6.57,5.4,5.62,5.98,6.86,5.23,7.21,7.24,7.65,5,34.93,True,False,468.50200000000024,1.0,36.68
C=C(C)[C@@H]1COC2=C(C)C=C3OC4=C(C[C@H](OC(C)=O)C(C)(C)O)C=CC(O)=C4C(=O)C3=C2[C@@H]1O,Aspergixanthone I,Aspergillus|Aspergillus sp. ZA-01,Polyketides,6.66,7.68,5.21,6.5,5.47,5.65,6.05,6.88,5.23,7.19,7.25,7.68,5,34.91,True,False,482.5290000000002,1.0,36.66
C=C(C)[C@H]1COC2=C(C)C=C3OC4=C(C[C@H](OC(C)=O)C(C)(C)O)C=CC(O)=C4C(=O)C3=C2[C@@H]1O,Emerixanthone D,Emericella|Emericella sp.|Emericella sp. SCSIO 05240,Polyketides,6.66,7.68,5.21,6.5,5.47,5.65,6.05,6.88,5.23,7.19,7.25,7.68,5,34.91,True,False,482.5290000000002,1.0,36.66
C[C@@H]1CC(=O)C(O)=C2[C@H]1[C@@]1(C)C[C@H](O)[C@@]34C[C@@]35CC[C@H](O[C@@H]3OC[C@@H](O)[C@H](O)[C@H]3O)C(C)(C)[C@@H]5CC=C4[C@]1(C)[C@H]2O,,Actaea cimicifuga,Terpenoids,6.92,7.58,4.39,7.34,5.64,5.7,5.92,6.5,4.88,6.57,7.28,7.58,5,34.91,True,False,574.7110000000002,1.0,36.66
COC1=C(Br)C=C(C/C(=N\O)C(=O)N[C@H](CC2=CC=C(O)C(Br)=C2)C(=O)O)C=C1Br,callyspongic acid,Callyspongia sp.,Shikimates and Phenylpropanoids,5.9,7.13,5.45,6.64,5.52,6.5,6.13,6.58,5.67,7.94,7.24,7.94,5,34.79,True,False,609.0650000000002,1.0,36.53
COC1=CC=C([C@@H]2CC(=O)C3=C(C=C4OC(C)(CCCC(C)(C)O)CCC4=C3O)O2)C=C1O,"(8S)-5-hydroxy-8-(3-hydroxy-4-methoxyphenyl)-2-(4-hydroxy-4-methylpentyl)-2-methyl-3,4,7,8-tetrahydropyrano[3,2-g]chromen-6-one",Paulownia tomentosa,Shikimates and Phenylpropanoids,6.85,7.46,5.25,6.97,6.8,5.84,5.76,5.84,5.29,6.7,7.09,7.46,5,34.78,True,False,456.53500000000025,1.0,36.52
