  Ganoderma lucidum(灵芝) | Ganoderic acid X | CID 101600075 | MW 513 | ADMET False
  Ganoderma lucidum(灵芝) | Ganoderic acid Y | CID 57397445 | MW 455 | ADMET False
  Ganoderma lucidum(灵芝) | Ganoderic acid R | CID 139583813 | MW 555 | ADMET False
  Ganoderma lucidum(灵芝) | Ganoderic acid S | CID 12444571 | MW 453 | ADMET False
  Ganoderma lucidum(灵芝) | Lucidenic acid A | CID 14109375 | MW 459 | ADMET True
  Ganoderma lucidum(灵芝) | Lucidenic acid B | CID 102410351 | MW 475 | ADMET True
  Ganoderma lucidum(灵芝) | Lucidenic acid C | CID 139588461 | MW 463 | ADMET True
  Ganoderma lucidum(灵芝) | Lucidenic acid D | CID 23247891 | MW 515 | ADMET False
  [miss NOT_IN_PUBCHEM] Ganoderma lucidum(灵芝) | Lucidenic acid E1
  Ganoderma lucidum(灵芝) | Lucidenic acid F | CID 23247893 | MW 457 | ADMET True
  Ganoderma lucidum(灵芝) | Lucidenic acid N | CID 21592283 | MW 461 | ADMET True
  Ganoderma lucidum(灵芝) | Lucidenic acid O | CID 9847846 | MW 477 | ADMET True
  Ganoderma lucidum(灵芝) | Ganodermanontriol | CID 3001811 | MW 473 | ADMET False
  Ganoderma lucidum(灵芝) | Ganodermanondiol | CID 10253565 | MW 457 | ADMET False
  Ganoderma lucidum(灵芝) | Ganoderiol F | CID 471008 | MW 455 | ADMET False
  Ganoderma lucidum(灵芝) | Ganoderal A | CID 13934282 | MW 437 | ADMET False
  Ganoderma lucidum(灵芝) | Ganoderal B | CID 14015440 | MW 455 | ADMET False
  Ganoderma lucidum(灵芝) | Lucidumol A | CID 475410 | MW 473 | ADMET False
  Ganoderma lucidum(灵芝) | Lucidumol B | CID 475411 | MW 459 | ADMET False
  Ganoderma lucidum(灵芝) | Ganosporeric acid A | CID 139583540 | MW 527 | ADMET False | PAINS:['imine_one_A(321)']
  Ganoderma lucidum(灵芝) | Ergosterol | CID 444679 | MW 397 | ADMET False
  Ganoderma lucidum(灵芝) | Ergosterol peroxide | CID 5351516 | MW 429 | ADMET False
  Coptis chinensis(黄连) | Berberine | CID 2353 | MW 336 | ADMET True
  Coptis chinensis(黄连) | Coptisine | CID 72322 | MW 320 | ADMET True
  Coptis chinensis(黄连) | Palmatine | CID 19009 | MW 352 | ADMET True
  Coptis chinensis(黄连) | Epiberberine | CID 160876 | MW 336 | ADMET True
  Coptis chinensis(黄连) | Jatrorrhizine | CID 72323 | MW 338 | ADMET True
  Coptis chinensis(黄连) | Columbamine | CID 72310 | MW 338 | ADMET True
  Coptis chinensis(黄连) | Magnoflorine | CID 73337 | MW 342 | ADMET True
  Coptis chinensis(黄连) | Berberrubine | CID 72704 | MW 322 | ADMET True
  Coptis chinensis(黄连) | Worenine | CID 20055073 | MW 334 | ADMET True
  Coptis chinensis(黄连) | Canadine | CID 34458 | MW 339 | ADMET True
  Coptis chinensis(黄连) | Stylopine | CID 440583 | MW 323 | ADMET True
  [miss NOT_IN_PUBCHEM] Coptis chinensis(黄连) | Cheilanthifoline
  Coptis chinensis(黄连) | Groenlandicine | CID 3084708 | MW 322 | ADMET True
  Coptis chinensis(黄连) | Menisperine | CID 30358 | MW 356 | ADMET True
  Coptis chinensis(黄连) | 8-Oxocoptisine | CID 5245667 | MW 335 | ADMET True
  Coptis chinensis(黄连) | beta-Sitosterol | CID 222284 | MW 415 | ADMET False
  Sophora flavescens(苦参) | Matrine | CID 91466 | MW 248 | ADMET True
  Sophora flavescens(苦参) | Oxymatrine | CID 24864132 | MW 264 | ADMET True
  Sophora flavescens(苦参) | Sophoridine | CID 165549 | MW 248 | ADMET True
  Sophora flavescens(苦参) | Sophocarpine | CID 115269 | MW 246 | ADMET True
  Sophora flavescens(苦参) | Oxysophocarpine | CID 161544 | MW 262 | ADMET True
  Sophora flavescens(苦参) | Sophoramine | CID 169014 | MW 244 | ADMET True
  Sophora flavescens(苦参) | Aloperine | CID 162147 | MW 232 | ADMET True
  Sophora flavescens(苦参) | N-Methylcytisine | CID 670971 | MW 204 | ADMET True
  Sophora flavescens(苦参) | Anagyrine | CID 5351589 | MW 244 | ADMET True
  Sophora flavescens(苦参) | Baptifoline | CID 160543 | MW 260 | ADMET True
  Sophora flavescens(苦参) | Kurarinone | CID 11982640 | MW 439 | ADMET False
  Sophora flavescens(苦参) | Isokurarinone | CID 5318581 | MW 439 | ADMET False
  Sophora flavescens(苦参) | Kuraridin | CID 44428631 | MW 439 | ADMET False
  Sophora flavescens(苦参) | Kurarinol | CID 44563198 | MW 457 | ADMET True
  Sophora flavescens(苦参) | Sophoraflavanone G | CID 72936 | MW 424 | ADMET True
  Sophora flavescens(苦参) | Kushenol A | CID 44563121 | MW 408 | ADMET False
  Sophora flavescens(苦参) | Kushenol B | CID 102004745 | MW 493 | ADMET False
  Sophora flavescens(苦参) | Kushenol C | CID 5481237 | MW 438 | ADMET True
  Sophora flavescens(苦参) | Kushenol D | CID 5318893 | MW 453 | ADMET False
  Sophora flavescens(苦参) | Kushenol E | CID 127234 | MW 424 | ADMET True
  [miss NOT_IN_PUBCHEM] Sophora flavescens(苦参) | Kushenol F
  Sophora flavescens(苦参) | Kushenol G | CID 44259516 | MW 456 | ADMET False
