herb,name,status,note,cid,smiles,formula,mw,logp,hbd,hba,admet_pass,pains,mw_pubchem
Schisandra chinensis(五味子),Gomisin M2,OK,,38363711.0,C[C@H]1CC2=CC3=C(C(=C2C4=C(C(=C(C=C4C[C@@H]1C)OC)OC)OC)O)OCO3,C22H26O6,386.44,4.18,1.0,6.0,True,,386.4
Schisandra chinensis(五味子),Gomisin N,OK,,158103.0,C[C@H]1CC2=CC3=C(C(=C2C4=C(C(=C(C=C4C[C@H]1C)OC)OC)OC)OC)OCO3,C23H28O6,400.47,4.49,0.0,6.0,True,,400.5
Schisandra chinensis(五味子),Gomisin O,OK,,5317808.0,C[C@H]1CC2=CC3=C(C(=C2C4=C(C(=C(C=C4[C@@H]([C@H]1C)O)OC)OC)OC)OC)OCO3,C23H28O7,416.47,3.98,1.0,7.0,True,,416.5
Schisandra chinensis(五味子),Schisanhenol,OK,,73057.0,C[C@H]1CC2=CC(=C(C(=C2C3=C(C(=C(C=C3C[C@H]1C)OC)OC)OC)O)OC)OC,C23H30O6,402.49,4.47,1.0,6.0,True,,402.5
Schisandra chinensis(五味子),Pregomisin,OK,UNCERTAIN,181796.0,C[C@H](CC1=CC(=C(C(=C1)OC)OC)O)[C@@H](C)CC2=CC(=C(C(=C2)OC)OC)O,C22H30O6,390.48,4.19,2.0,6.0,True,,390.5
Schisandra chinensis(五味子),Chamigrenal,OK,,177096.0,CC1(CCCC(=C)C12CCC(=CC2)C=O)C,C15H22O,218.34,4.05,0.0,1.0,True,,218.33
Ganoderma lucidum(灵芝),Lucidenic acid A,OK,,14109375.0,C[C@H](CCC(=O)O)[C@H]1CC(=O)[C@@]2([C@@]1(CC(=O)C3=C2[C@H](C[C@@H]4[C@@]3(CCC(=O)C4(C)C)C)O)C)C,C27H38O6,458.6,4.13,2.0,5.0,True,,458.6
Ganoderma lucidum(灵芝),Lucidenic acid B,OK,,102410351.0,C[C@H](CCC(=O)O)[C@H]1CC(=O)[C@@]2([C@@]1([C@@H](C(=O)C3=C2[C@H](C[C@@H]4[C@@]3(CCC(=O)C4(C)C)C)O)O)C)C,C27H38O7,474.59,3.11,3.0,6.0,True,,474.6
Ganoderma lucidum(灵芝),Lucidenic acid C,OK,,139588461.0,CC(CCC(=O)O)[C@@H]1CC(=O)[C@@]2([C@@]1(C[C@@H](C3=C2[C@H](CC4[C@@]3(CC[C@@H](C4(C)C)O)C)O)O)C)C,C27H42O6,462.63,3.72,4.0,5.0,True,,462.6
Ganoderma lucidum(灵芝),Lucidenic acid F,OK,,23247893.0,C[C@H](CCC(=O)O)[C@H]1CC(=O)[C@@]2([C@@]1(CC(=O)C3=C2C(=O)C[C@@H]4[C@@]3(CCC(=O)C4(C)C)C)C)C,C27H36O6,456.58,4.34,1.0,5.0,True,,456.6
