n,r2,rmse,mae,spearman,bias,method,assay_id,seed,n_cal,n_test
28,-0.18545257521667113,0.6359063548697744,0.5356461809947541,0.11169367384538036,0.10965561611783249,C_indicator_ridge,CHEMBL5730715,20260913,9,28
28,-1.306196744203299,0.886950229052301,0.7490101557413872,0.3670592966416684,0.6616711080121457,D_shrunk_offset,CHEMBL5730715,20260913,9,28
28,-0.1844649636589848,0.6356414099291621,0.5353226299530148,0.12062916775301079,0.11427390320431931,E_pool_ridge,CHEMBL5730715,20260913,9,28
80,0.16443083080801346,0.993673747869584,0.8343489765022518,0.4823908707922422,0.14685598673648742,none_canonical_only,POOLED,20260913,25,80
80,0.3825544261562196,0.8541850253772778,0.6671725389117491,0.5358037428798593,0.10709174933261778,cal_mean_baseline,POOLED,20260913,25,80
80,0.2804817610524931,0.9220904335582571,0.7504415470426178,0.5383451936190087,0.11953047575778868,A_assay_offset,POOLED,20260913,25,80
80,0.374457386746305,0.8597675760133372,0.6596670978290801,0.5211321065294429,0.1090444690210333,B_assay_linear,POOLED,20260913,25,80
80,0.4206354529725195,0.8274248705887574,0.6289882736567834,0.687701664790818,0.14430573644466307,C_indicator_ridge,POOLED,20260913,25,80
80,0.2086287090634268,0.9670362589918187,0.8099002479408505,0.5174301138266185,0.1305724746210089,D_shrunk_offset,POOLED,20260913,25,80
80,0.4219599510088834,0.8264785323185398,0.6283548610572198,0.6907194253809333,0.14312523665256408,E_pool_ridge,POOLED,20260913,25,80
32,-0.21673711563664844,0.8719892676215605,0.7104860139485094,0.21163731235197922,0.0299563027709307,none_canonical_only,CHEMBL4123591,20260914,10,32
32,-0.22752880919572727,0.8758477293774396,0.6886454707495238,,0.3770777947991671,cal_mean_baseline,CHEMBL4123591,20260914,10,32
32,-0.3977662227647516,0.9346091583180355,0.7330627899467062,0.21163731235197922,0.3376779176085772,A_assay_offset,CHEMBL4123591,20260914,10,32
32,-0.2127626088616943,0.8705639136713653,0.6547052229045265,0.21163731235197922,0.3593926496594729,B_assay_linear,CHEMBL4123591,20260914,10,32
32,-0.9429511925686145,1.1019038671655892,0.799088797029891,0.35488311845845705,0.6881598301022829,C_indicator_ridge,CHEMBL4123591,20260914,10,32
32,-0.24340744921739144,0.8814942710497881,0.7168968809242937,0.21163731235197922,0.13253017438347953,D_shrunk_offset,CHEMBL4123591,20260914,10,32
32,-0.9308836395553615,1.0984766079247605,0.7957662851184988,0.34791383757916955,0.6842383809178652,E_pool_ridge,CHEMBL4123591,20260914,10,32
20,-0.31915861087141284,1.1925114982775264,1.042430431397128,0.06591337567347101,-0.3444849261195048,none_canonical_only,CHEMBL4402021,20260914,6,20
