molecule_id,canonical_smiles,inchikey,pActivity,n_records,assay_ids,documents,years,assay_format,overlaps_canonical_training,excluded,exclusion_reason
CHEMBL4129812,CC(=O)N1CCC2(CC1)N=C(c1ccc(-c3ccc4c(cnn4C)c3)cc1)N(C[C@@H]1CCN(C(=O)C3CC3)C1)C2=O,PSMOEZPUOOVUGL-JOCHJYFZSA-N,6.698970004336019,1,CHEMBL4123591,CHEMBL4118196,2018,single protein format,False,False,
CHEMBL4130174,N#CC1(C(=O)N2CC[C@@H](CN3C(=O)C4(CC4)N=C3c3ccc(-c4ccc5occc5c4)cc3)C2)CC1,SKEFRAXCEDZKOL-LJQANCHMSA-N,6.229147988357855,1,CHEMBL4123591,CHEMBL4118196,2018,single protein format,False,False,
CHEMBL4130221,Cn1ncc2cc(-c3ccc(C4=NC5(CCOC5)C(=O)N4C[C@@H]4CCN(C(=O)C5CC5)C4)cc3)ccc21,MUYLYGDFLYUIJG-COBFLCELSA-N,6.259637310505756,1,CHEMBL4123591,CHEMBL4118196,2018,single protein format,False,False,
CHEMBL4130264,O=C(C1CC1)N1CC[C@@H](CN2C(=O)C3(CC3)N=C2c2ccc(-c3n[nH]c4ccccc34)cc2)C1,KZHNVIJSQASLJE-QGZVFWFLSA-N,6.443697499232712,1,CHEMBL4123591,CHEMBL4118196,2018,single protein format,False,False,
CHEMBL4130300,Cn1ncc2cc(-c3ccc(C4=NC5(CC5)C(=O)N4C[C@H]4CCN(C(=O)C5CC5)C4)cc3)ccc21,KYFZEWZCYBWMGN-SFHVURJKSA-N,6.6020599913279625,1,CHEMBL4123591,CHEMBL4118196,2018,single protein format,False,False,
CHEMBL4439223,O=C(c1ccc(-c2ccc(F)cc2Cl)cc1)N1CCN(C(=O)C2(O)CC2)CC1,KPYMGJDBFZANBT-UHFFFAOYSA-N,6.508638306165727,1,CHEMBL4402021,CHEMBL4400560,2019,single protein format,False,False,
CHEMBL4439986,O=C(c1ccc(-c2ccccc2)cc1)N1CCN(C(=O)[C@H]2CCCO2)CC1,AVLYVKPANXQIGA-HXUWFJFHSA-N,5.958607314841775,1,CHEMBL4402021,CHEMBL4400560,2019,single protein format,False,False,
CHEMBL4440024,Cn1ccc2cc(-c3ccc(C(=O)N4CCN(C(=O)C5(O)CC5)CC4)cc3)ccc21,GRRIKAANZUFJSO-UHFFFAOYSA-N,7.920818753952375,1,CHEMBL4402021,CHEMBL4400560,2019,single protein format,False,False,
CHEMBL4440104,O=C(c1ccc(-c2nc3ccc(Cl)cc3o2)cc1)N1CCN(C(=O)C2(O)CC2)CC1,SZEFPGMHCYAUSD-UHFFFAOYSA-N,7.013228265733755,1,CHEMBL4402021,CHEMBL4400560,2019,single protein format,False,False,
CHEMBL4442092,O=C(c1ccc(-c2ccccc2)cc1)N1CCN(C(=O)C2(O)CC2)CC1,WBJLUGNDICQMGR-UHFFFAOYSA-N,6.455931955649724,1,CHEMBL4402021,CHEMBL4400560,2019,single protein format,False,False,
CHEMBL4444430,O=C(c1ccc(-c2ccccc2)cc1)N1CCN(C(=O)C2(O)CCC2)CC1,VQNLEJUAAGSHBQ-UHFFFAOYSA-N,5.7447274948966935,1,CHEMBL4402021,CHEMBL4400560,2019,single protein format,False,False,
CHEMBL4445590,O=C(c1ccc(-c2nc3cc(F)ccc3o2)cc1)N1CCN(C(=O)C2(O)CC2)CC1,TVRKBCOOEBCGTB-UHFFFAOYSA-N,6.716698771296451,1,CHEMBL4402021,CHEMBL4400560,2019,single protein format,False,False,
CHEMBL4447234,O=C(c1ccc(-c2ccccc2)cc1)N1CCN(C(=O)C2(O)CCCC2)CC1,SKKYHDJGXVGZHH-UHFFFAOYSA-N,4.301029995663981,1,CHEMBL4402021,CHEMBL4400560,2019,single protein format,False,False,
CHEMBL4449818,O=C(c1ccc(-c2nc3ccccc3o2)cc1)N1CCN(C(=O)C2(O)CC2)CC1,FGXGECPNCZCUAJ-UHFFFAOYSA-N,7.267606240177032,1,CHEMBL4402021,CHEMBL4400560,2019,single protein format,False,False,
CHEMBL4450081,O=C(c1ccc(-c2cnc3ccccc3c2)cc1)N1CCN(C(=O)C2(O)CC2)CC1,SPAWONGCLNYYTM-UHFFFAOYSA-N,8.0,1,CHEMBL4402021,CHEMBL4400560,2019,single protein format,False,False,
CHEMBL4454062,O=C(c1ccc(-c2cc(Cl)ccc2F)cc1)N1CCN(C(=O)C2(O)CC2)CC1,AUVRXJKKYDGXMP-UHFFFAOYSA-N,6.958607314841775,1,CHEMBL4402021,CHEMBL4400560,2019,single protein format,False,False,
CHEMBL4455553,COc1ccc(-c2ccc(C(=O)N3CCN(C(=O)C4(O)CC4)CC3)cc2)c(Cl)c1,BDRSMBBEDKDLAN-UHFFFAOYSA-N,5.508638306165727,1,CHEMBL4402021,CHEMBL4400560,2019,single protein format,False,False,
CHEMBL4457855,O=C(c1ccc(-c2ccc(Cl)cc2F)cc1)N1CCN(C(=O)C2(O)CC2)CC1,NBLJFIOBIPULHX-UHFFFAOYSA-N,6.958607314841775,1,CHEMBL4402021,CHEMBL4400560,2019,single protein format,False,False,
CHEMBL4458935,O=C(c1ccc(-c2ccccc2)cc1)N1CCN(C(=O)C2CCCC2)CC1,GHKFKKPHPJJMCI-UHFFFAOYSA-N,4.301029995663981,1,CHEMBL4402021,CHEMBL4400560,2019,single protein format,False,False,
CHEMBL4462401,O=C(c1ccc(-c2ccc3scnc3c2)cc1)N1CCN(C(=O)C2(O)CC2)CC1,BPBUDVIJYFCWSO-UHFFFAOYSA-N,7.494850021680094,1,CHEMBL4402021,CHEMBL4400560,2019,single protein format,False,False,
CHEMBL4466578,Cn1c(-c2ccc(C(=O)N3CCN(C(=O)C4(O)CC4)CC3)cc2)cc2ccccc21,IIGQFVQBJKKVJJ-UHFFFAOYSA-N,7.481486060122112,1,CHEMBL4402021,CHEMBL4400560,2019,single protein format,False,False,
CHEMBL4471793,CC(C)(O)C(=O)N1CCN(C(=O)c2ccc(-c3ccccc3)cc2)CC1,DFBWLVBLQHXUEI-UHFFFAOYSA-N,4.455931955649724,1,CHEMBL4402021,CHEMBL4400560,2019,single protein format,False,False,
CHEMBL4518496,O=C(c1ccc(-c2ccc3ccccc3n2)cc1)N1CCN(C(=O)C2(O)CC2)CC1,MGWIMGUJYJRYQH-UHFFFAOYSA-N,7.494850021680094,1,CHEMBL4402021,CHEMBL4400560,2019,single protein format,False,False,
CHEMBL4529391,O=C(c1ccc(-c2ccc3[nH]ccc3c2)cc1)N1CCN(C(=O)C2(O)CC2)CC1,MDCZCLVNBDMNKU-UHFFFAOYSA-N,7.795880017344075,1,CHEMBL4402021,CHEMBL4400560,2019,single protein format,False,False,
CHEMBL4548362,O=C(c1ccc(-c2ccc3ocnc3c2)cc1)N1CCN(C(=O)C2(O)CC2)CC1,FCRNCDLZKRUUEK-UHFFFAOYSA-N,6.847711655616943,1,CHEMBL4402021,CHEMBL4400560,2019,single protein format,False,False,
CHEMBL4553437,O=C(c1ccc(-c2ccc3cnccc3c2)cc1)N1CCN(C(=O)C2(O)CC2)CC1,SEFIRGUYCMSQKT-UHFFFAOYSA-N,7.886056647693163,1,CHEMBL4402021,CHEMBL4400560,2019,single protein format,False,False,
CHEMBL4565279,O=C(c1ccc(-c2nc3ccc(F)cc3o2)cc1)N1CCN(C(=O)C2(O)CC2)CC1,DSTWHRGOCUOKDE-UHFFFAOYSA-N,6.671620396561262,1,CHEMBL4402021,CHEMBL4400560,2019,single protein format,False,False,
CHEMBL4570684,O=C(c1ccc(-c2nc3ccccc3s2)cc1)N1CCN(C(=O)C2(O)CC2)CC1,AGQYWZDFTLTSPF-UHFFFAOYSA-N,7.2441251443275085,1,CHEMBL4402021,CHEMBL4400560,2019,single protein format,False,False,
CHEMBL4575847,Cn1ncc2ccc(-c3ccc(C(=O)N4CCN(C(=O)C5(O)CC5)CC4)cc3)cc21,SHFYYHYMUMQCLT-UHFFFAOYSA-N,7.585026652029182,1,CHEMBL4402021,CHEMBL4400560,2019,single protein format,False,False,
CHEMBL4575998,O=C(c1ccc(-c2nc3cc(Cl)ccc3o2)cc1)N1CCN(C(=O)C2(O)CC2)CC1,RDTFIRXDJIMLTB-UHFFFAOYSA-N,7.161150909262744,1,CHEMBL4402021,CHEMBL4400560,2019,single protein format,False,False,
